6339,NAD_1983_2011_UTM_Zone_10N,26910,"PROJCS[""NAD_1983_2011_UTM_Zone_10N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-123.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6340,NAD_1983_2011_UTM_Zone_11N,26911,"PROJCS[""NAD_1983_2011_UTM_Zone_11N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-117.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6341,NAD_1983_2011_UTM_Zone_12N,26912,"PROJCS[""NAD_1983_2011_UTM_Zone_12N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-111.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6342,NAD_1983_2011_UTM_Zone_13N,26913,"PROJCS[""NAD_1983_2011_UTM_Zone_13N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-105.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6343,NAD_1983_2011_UTM_Zone_14N,26914,"PROJCS[""NAD_1983_2011_UTM_Zone_14N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-99.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6344,NAD_1983_2011_UTM_Zone_15N,26915,"PROJCS[""NAD_1983_2011_UTM_Zone_15N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-93.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6345,NAD_1983_2011_UTM_Zone_16N,26916,"PROJCS[""NAD_1983_2011_UTM_Zone_16N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-87.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6346,NAD_1983_2011_UTM_Zone_17N,26917,"PROJCS[""NAD_1983_2011_UTM_Zone_17N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-81.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6347,NAD_1983_2011_UTM_Zone_18N,26918,"PROJCS[""NAD_1983_2011_UTM_Zone_18N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-75.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6348,NAD_1983_2011_UTM_Zone_19N,26919,"PROJCS[""NAD_1983_2011_UTM_Zone_19N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-69.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6330,NAD_1983_2011_UTM_Zone_1N,26901,"PROJCS[""NAD_1983_2011_UTM_Zone_1N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-177.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
102045,NAD_1983_2011_UTM_Zone_20N,26920,"PROJCS[""NAD_1983_2011_UTM_Zone_20N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-63.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6331,NAD_1983_2011_UTM_Zone_2N,26902,"PROJCS[""NAD_1983_2011_UTM_Zone_2N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-171.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6332,NAD_1983_2011_UTM_Zone_3N,26903,"PROJCS[""NAD_1983_2011_UTM_Zone_3N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-165.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6333,NAD_1983_2011_UTM_Zone_4N,26904,"PROJCS[""NAD_1983_2011_UTM_Zone_4N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-159.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6328,NAD_1983_2011_UTM_Zone_59N,,"PROJCS[""NAD_1983_2011_UTM_Zone_59N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",171.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6334,NAD_1983_2011_UTM_Zone_5N,26905,"PROJCS[""NAD_1983_2011_UTM_Zone_5N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-153.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6329,NAD_1983_2011_UTM_Zone_60N,,"PROJCS[""NAD_1983_2011_UTM_Zone_60N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",177.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6335,NAD_1983_2011_UTM_Zone_6N,26906,"PROJCS[""NAD_1983_2011_UTM_Zone_6N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-147.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6336,NAD_1983_2011_UTM_Zone_7N,26907,"PROJCS[""NAD_1983_2011_UTM_Zone_7N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-141.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6337,NAD_1983_2011_UTM_Zone_8N,26908,"PROJCS[""NAD_1983_2011_UTM_Zone_8N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-135.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
6338,NAD_1983_2011_UTM_Zone_9N,26909,"PROJCS[""NAD_1983_2011_UTM_Zone_9N"",GEOGCS[""GCS_NAD_1983_2011"",DATUM[""D_NAD_1983_2011"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-129.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]

"
